DATE,품목명,총반입량,전일대비_반입량차이,전일대비_반입량변화율(%)
2024-05-15,토마토,101,-4.0,-3.8095238095238098
2024-05-14,토마토,146,45.0,44.554455445544555
2024-05-13,토마토,198,52.0,35.61643835616438
2024-05-11,토마토,127,-71.0,-35.858585858585855
2024-05-10,토마토,160,33.0,25.984251968503933
2024-05-09,토마토,101,-59.0,-36.875
2024-05-08,토마토,159,58.0,57.42574257425742
2024-05-07,토마토,170,11.0,6.918238993710692
2024-05-06,토마토,276,106.0,62.35294117647059
2024-05-04,토마토,173,-103.0,-37.31884057971014
2024-05-03,토마토,174,1.0,0.5780346820809248
2024-05-02,토마토,138,-36.0,-20.689655172413794
2024-05-01,토마토,162,24.0,17.391304347826086
2024-04-30,토마토,159,-3.0,-1.8518518518518516
2024-04-29,토마토,206,47.0,29.559748427672954
2024-04-27,토마토,159,-47.0,-22.815533980582526
2024-04-26,토마토,149,-10.0,-6.289308176100629
2024-04-25,토마토,124,-25.0,-16.778523489932887
2024-04-24,토마토,110,-14.0,-11.29032258064516
2024-04-23,토마토,158,48.0,43.63636363636363
2024-04-22,토마토,199,41.0,25.949367088607595
2024-04-20,토마토,123,-76.0,-38.19095477386934
2024-04-19,토마토,142,19.0,15.447154471544716
2024-04-18,토마토,108,-34.0,-23.943661971830984
2024-04-17,토마토,141,33.0,30.555555555555557
2024-04-16,토마토,143,2.0,1.4184397163120568
2024-04-15,토마토,204,61.0,42.65734265734265
2024-04-13,토마토,118,-86.0,-42.15686274509804
2024-04-12,토마토,174,56.0,47.45762711864407
2024-04-11,토마토,134,-40.0,-22.988505747126435
2024-04-10,토마토,177,43.0,32.08955223880597
2024-04-09,토마토,132,-45.0,-25.423728813559322
2024-04-08,토마토,183,51.0,38.63636363636363
2024-04-06,토마토,130,-53.0,-28.96174863387978
2024-04-05,토마토,163,33.0,25.384615384615383
2024-04-04,토마토,97,-66.0,-40.49079754601227
2024-04-03,토마토,119,22.0,22.68041237113402
2024-04-02,토마토,130,11.0,9.243697478991598
2024-04-01,토마토,182,52.0,40.0
2024-03-30,토마토,117,-65.0,-35.714285714285715
2024-03-29,토마토,126,9.0,7.6923076923076925
2024-03-28,토마토,91,-35.0,-27.77777777777778
2024-03-27,토마토,112,21.0,23.076923076923077
2024-03-26,토마토,111,-1.0,-0.8928571428571428
2024-03-25,토마토,182,71.0,63.96396396396396
2024-03-23,토마토,123,-59.0,-32.417582417582416
2024-03-22,토마토,136,13.0,10.569105691056912
2024-03-21,토마토,120,-16.0,-11.76470588235294
2024-03-20,토마토,136,16.0,13.333333333333334
2024-03-19,토마토,117,-19.0,-13.970588235294118
2024-03-18,토마토,187,70.0,59.82905982905983
2024-03-16,토마토,97,-90.0,-48.1283422459893
2024-03-15,토마토,155,58.0,59.79381443298969
2024-03-14,토마토,92,-63.0,-40.64516129032258
2024-03-13,토마토,113,21.0,22.82608695652174
2024-03-12,토마토,105,-8.0,-7.079646017699115
2024-03-11,토마토,182,77.0,73.33333333333333
2024-03-09,토마토,103,-79.0,-43.40659340659341
2024-03-08,토마토,125,22.0,21.35922330097087
2024-03-07,토마토,86,-39.0,-31.2
2024-03-06,토마토,111,25.0,29.069767441860467
2024-03-05,토마토,96,-15.0,-13.513513513513514
2024-03-04,토마토,168,72.0,75.0
2024-03-01,토마토,178,10.0,5.952380952380952
2024-02-29,토마토,90,-88.0,-49.43820224719101
2024-02-28,토마토,97,7.0,7.777777777777778
2024-02-27,토마토,83,-14.0,-14.432989690721648
2024-02-26,토마토,115,32.0,38.55421686746988
2024-02-24,토마토,73,-42.0,-36.52173913043478
2024-02-23,토마토,102,29.0,39.726027397260275
2024-02-22,토마토,72,-30.0,-29.411764705882355
2024-02-21,토마토,85,13.0,18.055555555555554
2024-02-20,토마토,77,-8.0,-9.411764705882353
2024-02-19,토마토,148,71.0,92.20779220779221
2024-02-17,토마토,74,-74.0,-50.0
2024-02-16,토마토,85,11.0,14.864864864864865
2024-02-15,토마토,92,7.0,8.235294117647058
2024-02-14,토마토,157,65.0,70.65217391304348
2024-02-13,토마토,162,5.0,3.1847133757961785
2024-02-09,토마토,80,-82.0,-50.617283950617285
2024-02-08,토마토,112,32.0,40.0
2024-02-07,토마토,80,-32.0,-28.57142857142857
2024-02-06,토마토,83,3.0,3.75
2024-02-05,토마토,119,36.0,43.373493975903614
2024-02-03,토마토,73,-46.0,-38.655462184873954
2024-02-02,토마토,114,41.0,56.16438356164384
2024-02-01,토마토,70,-44.0,-38.59649122807017
2024-01-31,토마토,97,27.0,38.57142857142858
2024-01-30,토마토,89,-8.0,-8.24742268041237
2024-01-29,토마토,112,23.0,25.842696629213485
2024-01-27,토마토,84,-28.0,-25.0
2024-01-26,토마토,96,12.0,14.285714285714285
2024-01-25,토마토,65,-31.0,-32.29166666666667
2024-01-24,토마토,69,4.0,6.153846153846154
2024-01-23,토마토,67,-2.0,-2.898550724637681
2024-01-22,토마토,81,14.0,20.8955223880597
2024-01-20,토마토,80,-1.0,-1.2345679012345678
2024-01-19,토마토,121,41.0,51.24999999999999
2024-01-18,토마토,76,-45.0,-37.1900826446281
2024-01-17,토마토,71,-5.0,-6.578947368421052
2024-01-16,토마토,79,8.0,11.267605633802818
2024-01-15,토마토,94,15.0,18.9873417721519
2024-01-13,토마토,58,-36.0,-38.297872340425535
2024-01-12,토마토,111,53.0,91.37931034482759
2024-01-11,토마토,61,-50.0,-45.04504504504504
2024-01-10,토마토,70,9.0,14.754098360655737
2024-01-09,토마토,78,8.0,11.428571428571429
2024-01-08,토마토,110,32.0,41.02564102564102
2024-01-06,토마토,75,-35.0,-31.818181818181817
2024-01-05,토마토,115,40.0,53.333333333333336
2024-01-04,토마토,91,-24.0,-20.869565217391305
2024-01-03,토마토,209,118.0,129.67032967032966
2023-12-30,토마토,107,-102.0,-48.803827751196174
2023-12-29,토마토,158,51.0,47.66355140186916
2023-12-28,토마토,56,-102.0,-64.55696202531645
2023-12-27,토마토,78,22.0,39.285714285714285
2023-12-26,토마토,90,12.0,15.384615384615385
2023-12-25,토마토,114,24.0,26.666666666666668
2023-12-23,토마토,60,-54.0,-47.368421052631575
2023-12-22,토마토,125,65.0,108.33333333333333
2023-12-21,토마토,85,-40.0,-32.0
2023-12-20,토마토,56,-29.0,-34.11764705882353
2023-12-19,토마토,76,20.0,35.714285714285715
2023-12-18,토마토,92,16.0,21.052631578947366
2023-12-16,토마토,81,-11.0,-11.956521739130435
2023-12-15,토마토,88,7.0,8.641975308641975
2023-12-14,토마토,67,-21.0,-23.863636363636363
