DATE,품목명,총반입량,전일,전년,서울청과,농협,중앙청과,동화청과,한국청과,대아청과
2024-01-15,토마토,94,0,0,28,14,42,3,7,0
2024-01-13,토마토,58,110,209,17,3,30,7,0,0
2024-01-12,토마토,111,61,88,27,19,55,5,4,0
2024-01-11,토마토,61,71,151,32,8,15,3,3,0
2024-01-10,토마토,70,78,132,22,7,37,4,1,0
2024-01-09,토마토,78,109,153,32,7,31,5,3,0
2024-01-08,토마토,110,0,0,37,13,50,6,3,0
2024-01-06,토마토,75,114,178,23,6,40,6,0,0
2024-01-05,토마토,115,90,107,45,14,47,5,3,0
2024-01-04,토마토,91,209,219,33,13,35,6,3,0
2024-01-03,토마토,209,0,207,64,28,102,10,5,0
2023-12-30,토마토,107,158,219,49,9,41,4,3,0
2023-12-29,토마토,158,56,111,44,21,82,8,3,0
2023-12-28,토마토,56,78,190,20,5,21,8,2,0
2023-12-27,토마토,78,90,118,24,12,36,6,0,0
2023-12-26,토마토,90,114,143,40,10,35,0,5,0
2023-12-25,토마토,114,0,0,34,18,54,6,2,0
2023-12-23,토마토,60,125,201,23,4,30,1,1,0
2023-12-22,토마토,125,85,124,46,13,58,6,2,0
2023-12-21,토마토,85,56,166,39,11,32,0,3,0
2023-12-20,토마토,56,76,134,25,5,22,4,0,0
2023-12-19,토마토,76,91,172,26,10,34,3,3,0
2023-12-18,토마토,92,0,0,28,12,41,6,4,0
2023-12-16,토마토,81,88,180,35,2,39,4,1,0
2023-12-15,토마토,88,67,139,22,9,47,9,1,0
2023-12-14,토마토,67,75,164,28,9,26,1,3,0
2023-12-13,토마토,75,97,145,22,9,37,4,3,0
2023-12-12,토마토,98,106,238,47,5,37,4,4,0
2023-12-11,토마토,106,0,0,28,9,51,10,8,0
2023-12-09,토마토,86,127,203,30,7,41,8,1,0
2023-12-08,토마토,127,84,118,39,13,58,11,6,0
2023-12-07,토마토,83,64,170,39,9,28,6,2,0
2023-12-06,토마토,64,111,133,18,3,33,9,1,0
2023-12-05,토마토,111,145,193,47,5,46,6,7,0
2023-12-04,토마토,144,0,0,58,20,59,4,4,0
2023-12-01,토마토,160,67,133,61,12,73,11,4,0
2023-11-30,토마토,66,61,151,22,11,23,4,7,0
2023-11-29,토마토,62,116,192,27,3,22,8,1,0
2023-11-28,토마토,116,109,240,49,10,48,7,2,0
2023-11-27,토마토,108,0,0,37,12,48,4,8,0
2023-11-25,토마토,69,121,229,25,9,30,5,0,0
2023-11-24,토마토,122,84,175,39,9,62,8,3,0
2023-11-23,토마토,84,58,191,34,11,34,3,2,0
2023-11-22,토마토,57,74,198,18,12,13,9,6,0
2023-11-21,토마토,74,93,221,23,5,39,5,2,0
2023-11-20,토마토,93,0,0,29,17,40,3,4,0
2023-11-18,토마토,79,75,190,40,10,23,3,4,0
2023-11-17,토마토,74,86,141,17,7,46,4,1,0
