DATE,품목명,단위,등급명,평균가격,전일,전년
2024-09-30,토마토,10키로상자,특,"69,875",0,0
2024-09-29,토마토,5키로상자,특,0,"39,379","22,230"
2024-09-29,토마토,10키로상자,특,0,"64,806","25,646"
2024-09-28,토마토,5키로상자,특,"39,379","35,954","31,384"
2024-09-28,토마토,10키로상자,특,"64,806","69,083","51,447"
2024-09-27,토마토,5키로상자,특,"35,954","34,073","42,399"
2024-09-27,토마토,10키로상자,특,"69,083","70,692","54,404"
2024-09-26,토마토,5키로상자,특,"34,073","27,922","46,374"
2024-09-26,토마토,10키로상자,특,"70,692","75,588","57,014"
2024-09-25,토마토,5키로상자,특,"27,922","25,807",0
2024-09-25,토마토,10키로상자,특,"75,588","69,424",0
2024-09-24,토마토,5키로상자,특,"25,807","25,951","65,393"
2024-09-24,토마토,10키로상자,특,"69,424","53,068","59,070"
2024-09-23,토마토,5키로상자,특,"25,951",0,"62,900"
2024-09-23,토마토,10키로상자,특,"53,068",0,"78,939"
2024-09-22,토마토,5키로상자,특,0,"25,810","40,649"
2024-09-22,토마토,10키로상자,특,0,"50,827","77,444"
2024-09-21,토마토,5키로상자,특,"25,810","21,167","35,736"
2024-09-21,토마토,10키로상자,특,"50,827","32,697","71,514"
2024-09-20,토마토,5키로상자,특,"21,167",0,"30,762"
2024-09-20,토마토,10키로상자,특,"32,697",0,"65,238"
2024-09-19,토마토,5키로상자,특,0,0,"29,785"
2024-09-19,토마토,10키로상자,특,0,0,"63,122"
2024-09-17,토마토,5키로상자,특,0,"33,937","27,020"
2024-09-17,토마토,10키로상자,특,0,"24,309","54,061"
2024-09-16,토마토,5키로상자,특,"33,937",0,"26,791"
2024-09-16,토마토,10키로상자,특,"24,309",0,"58,237"
2024-09-15,토마토,5키로상자,특,0,"46,643","28,815"
2024-09-15,토마토,10키로상자,특,0,"71,109","55,452"
2024-09-14,토마토,5키로상자,특,"46,643","52,262","34,001"
2024-09-14,토마토,10키로상자,특,"71,109","74,676","52,449"
2024-09-13,토마토,5키로상자,특,"52,262","48,639","32,605"
2024-09-13,토마토,10키로상자,특,"74,676","75,286","57,894"
2024-09-12,토마토,5키로상자,특,"48,639","44,859","31,698"
2024-09-12,토마토,10키로상자,특,"75,286","68,500","68,961"
2024-09-11,토마토,5키로상자,특,"44,859","39,300",0
2024-09-11,토마토,10키로상자,특,"68,500","68,968",0
2024-09-10,토마토,5키로상자,특,"39,300",0,0
2024-09-10,토마토,10키로상자,특,"68,968",0,0
2024-09-09,토마토,5키로상자,특,"40,594",0,0
2024-09-09,토마토,10키로상자,특,"68,765",0,0
2024-09-07,토마토,5키로상자,특,"40,587",0,0
2024-09-07,토마토,10키로상자,특,"65,645",0,0
2024-09-06,토마토,5키로상자,특,"37,355",0,0
2024-09-06,토마토,10키로상자,특,"63,452",0,0
2024-09-05,토마토,5키로상자,특,"39,066",0,0
2024-09-05,토마토,10키로상자,특,"58,000",0,0
2024-09-04,토마토,5키로상자,특,"36,914",0,0
2024-09-04,토마토,10키로상자,특,"50,350",0,0
2024-09-03,토마토,5키로상자,특,"31,406",0,0
2024-09-03,토마토,10키로상자,특,"49,524",0,0
2024-09-02,토마토,5키로상자,특,"30,127",0,0
2024-09-02,토마토,10키로상자,특,"47,608",0,0
2024-09-01,토마토,5키로상자,특,0,"31,029","38,419"
2024-09-01,토마토,10키로상자,특,0,"49,161","54,375"
2024-08-31,토마토,5키로상자,특,"31,029","29,090","32,060"
2024-08-31,토마토,10키로상자,특,"49,161","49,880","46,432"
2024-08-30,토마토,5키로상자,특,"29,090","22,899","30,424"
2024-08-30,토마토,10키로상자,특,"49,880","42,379","43,974"
2024-08-29,토마토,5키로상자,특,"22,899","20,025","26,858"
2024-08-29,토마토,10키로상자,특,"42,379","36,548","44,179"
2024-08-28,토마토,5키로상자,특,"20,025","16,311",0
2024-08-28,토마토,10키로상자,특,"36,548","33,594",0
2024-08-27,토마토,5키로상자,특,"16,311","16,936","30,702"
2024-08-27,토마토,10키로상자,특,"33,594","31,923","47,184"
2024-08-26,토마토,5키로상자,특,"16,936",0,"31,318"
2024-08-26,토마토,10키로상자,특,"31,923",0,"50,906"
2024-08-25,토마토,5키로상자,특,0,"17,413","30,693"
2024-08-25,토마토,10키로상자,특,0,"36,255","56,326"
2024-08-24,토마토,5키로상자,특,"17,413","22,347","26,580"
2024-08-24,토마토,10키로상자,특,"36,255","34,776","56,147"
2024-08-23,토마토,5키로상자,특,"22,347","23,072","25,020"
2024-08-23,토마토,10키로상자,특,"34,776","33,800","57,353"
2024-08-22,토마토,5키로상자,특,"23,072","23,728","24,340"
2024-08-22,토마토,10키로상자,특,"33,800","36,322","55,547"
2024-08-21,토마토,5키로상자,특,"23,728","26,351",0
2024-08-21,토마토,10키로상자,특,"36,322","35,227",0
2024-08-20,토마토,5키로상자,특,"26,351","27,042","30,370"
2024-08-20,토마토,10키로상자,특,"35,227","33,991","55,932"
2024-08-19,토마토,5키로상자,특,"27,042",0,"20,683"
