DATE,품목명,총반입량,전일,전년,서울청과,농협,중앙청과,동화청과,한국청과,대아청과
2023-12-13,고구마,138,149,192,10,4,19,33,71,0
2023-12-12,고구마,150,158,177,8,0,26,33,82,0
2023-12-11,고구마,158,0,0,0,0,15,65,78,0
2023-12-09,고구마,77,155,136,6,1,0,24,46,0
2023-12-08,고구마,154,140,129,5,1,17,67,65,0
2023-12-07,고구마,141,166,151,6,4,11,22,97,0
2023-12-06,고구마,167,204,125,14,1,11,60,80,0
2023-12-05,고구마,204,188,119,24,3,14,67,96,0
2023-12-04,고구마,188,0,0,18,4,26,66,74,0
2023-12-01,고구마,136,160,122,14,0,21,40,62,0
2023-11-30,고구마,160,119,164,9,0,22,47,82,0
2023-11-29,고구마,120,120,131,5,2,16,39,57,0
2023-11-28,고구마,121,141,124,15,3,7,31,64,0
2023-11-27,고구마,141,0,0,5,2,10,58,66,0
2023-11-25,고구마,74,148,101,0,0,10,20,44,0
2023-11-24,고구마,147,115,113,12,0,11,46,79,0
2023-11-23,고구마,115,138,128,5,2,18,31,59,0
2023-11-22,고구마,138,116,102,15,1,7,45,70,0
2023-11-21,고구마,118,195,110,13,6,7,32,58,0
2023-11-20,고구마,195,0,0,26,4,15,61,89,0
2023-11-18,고구마,93,142,117,1,1,17,14,60,0
2023-11-17,고구마,141,123,113,25,2,24,46,45,0
2023-11-16,고구마,123,111,147,5,2,7,49,60,0
2023-11-15,고구마,112,134,135,14,1,16,30,50,0
2023-11-14,고구마,135,100,125,5,1,27,36,65,0
2023-11-13,고구마,100,0,0,13,1,27,42,17,0
2023-11-11,고구마,61,93,107,0,2,6,25,28,0
2023-11-10,고구마,92,108,113,6,2,7,35,43,0
2023-11-09,고구마,107,132,141,8,5,23,31,41,0
2023-11-08,고구마,131,134,128,5,2,16,42,67,0
2023-11-07,고구마,135,163,131,7,2,2,66,57,0
2023-11-06,고구마,163,0,0,24,1,21,54,63,0
2023-11-03,고구마,126,153,110,7,2,14,47,56,0
2023-11-02,고구마,153,133,129,14,1,23,46,69,0
2023-11-01,고구마,133,135,131,15,4,26,39,49,0
2023-10-31,고구마,135,117,141,20,6,17,46,46,0
2023-10-30,고구마,118,0,0,14,1,17,35,50,0
2023-10-28,고구마,100,128,134,5,3,15,49,29,0
2023-10-27,고구마,128,127,135,10,3,17,39,59,0
2023-10-26,고구마,127,114,143,6,3,16,64,38,0
2023-10-25,고구마,114,144,97,11,4,13,46,40,0
2023-10-24,고구마,144,123,138,12,2,22,42,66,0
2023-10-23,고구마,123,0,0,10,4,21,53,35,0
2023-10-21,고구마,127,151,149,8,4,21,45,48,0
2023-10-20,고구마,152,111,135,9,0,40,47,55,0
2023-10-19,고구마,110,133,160,5,2,15,35,54,0
2023-10-18,고구마,134,122,137,6,2,16,44,65,0
2023-10-17,고구마,122,210,191,4,3,11,53,51,0
2023-10-16,고구마,211,0,0,20,10,34,69,77,0
2023-10-14,고구마,132,149,163,10,2,15,60,45,0
2023-10-13,고구마,149,120,127,8,4,29,38,70,0
2023-10-12,고구마,119,158,165,24,2,13,38,43,0
2023-10-11,고구마,158,140,148,8,2,31,54,63,0
2023-10-10,고구마,140,196,138,12,9,30,46,43,0
2023-10-09,고구마,196,0,0,11,4,40,83,58,0
2023-10-07,고구마,115,143,149,4,6,6,38,62,0
2023-10-06,고구마,142,133,108,0,2,23,62,56,0
2023-10-05,고구마,134,115,134,10,1,22,59,41,0
2023-10-04,고구마,114,92,112,1,1,17,54,42,0
2023-10-03,고구마,92,125,155,12,3,8,31,38,0
2023-10-02,고구마,125,0,0,7,0,5,76,37,0
2023-09-28,고구마,8,88,143,0,1,0,0,7,0
2023-09-27,고구마,88,142,138,6,0,19,19,44,0
2023-09-26,고구마,143,159,178,28,1,17,43,53,0
2023-09-25,고구마,158,0,0,27,1,11,60,60,0
2023-09-23,고구마,118,139,101,11,9,23,29,46,0
2023-09-22,고구마,140,167,174,16,0,16,65,42,0
2023-09-21,고구마,167,111,135,19,2,28,55,63,0
2023-09-20,고구마,112,145,178,6,0,26,32,47,0
2023-09-19,고구마,144,171,204,18,1,20,44,62,0
2023-09-18,고구마,170,0,0,19,10,43,58,41,0
2023-09-16,고구마,119,141,140,16,4,9,40,50,0
2023-09-15,고구마,141,171,132,8,3,29,50,51,0
2023-09-14,고구마,171,177,143,14,9,18,51,79,0
2023-09-13,고구마,177,144,91,23,4,31,46,73,0
2023-09-12,고구마,144,208,0,21,1,25,23,74,0
2023-09-11,고구마,208,0,0,11,5,38,83,71,0
2023-09-09,고구마,135,137,8,12,4,44,41,34,0
